Judul Artikel,Link,Waktu_Scraping,Berita_Hoax
"Gambar Tangkapan Layar Artikel Fajar.co.id “8 Parpol Nyatakan Tolak system Pemilu Proporsional Tertutup Hasti Kristiyanto Bilang ; Jangan sekali kali intervensi MK Ketua MK itu Ipar Pak Jokowi, kalian bosa sengsara apapun kami bisa lakukan”",https://turnbackhoax.id/2023/01/18/salah-gambar-tangkapan-layar-artikel-fajar-co-id-8-parpol-nyatakan-tolak-system-pemilu-proporsional-tertutup-hasti-kristiyanto-bilang-jangan-sekali-kali-intervensi-mk-ketua-mk-itu-ipar-pak-jokow/,2023-10-13,True
Ribuan WNA China Diberi KTP Elektronik Untuk Pemilu 2024,https://turnbackhoax.id/2023/01/14/salah-ribuan-wna-china-diberi-ktp-elektronik-untuk-pemilu-2024/,2023-10-13,True
KPU Anulir Keputusan Peserta Pemilu 2024,https://turnbackhoax.id/2022/12/26/salah-kpu-anulir-keputusan-peserta-pemilu-2024/,2023-10-13,True
Demo Memprotes Kecurangan Hasil Pemilu di Brasilia pada 12 November 2022,https://turnbackhoax.id/2022/11/25/salah-demo-memprotes-kecurangan-hasil-pemilu-di-brasilia-pada-12-november-2022/,2023-10-13,True
"Artikel Berjudul, “Optimis Menang Pemilu 2024, Puan: Kita Bersama Wong Licik”",https://turnbackhoax.id/2022/09/27/salah-artikel-berjudul-optimis-menang-pemilu-2024-puan-kita-bersama-wong-licik/,2023-10-13,True
"Dewan Majelis Negara Bagian Lagos, Nigeria, Mengesahkan Hukum Syariah Demi Kepentingan Pemilu",https://turnbackhoax.id/2022/08/01/salah-dewan-majelis-negara-bagian-lagos-nigeria-mengesahkan-hukum-syariah-demi-kepentingan-pemilu/,2023-10-13,True
Pidato Surya Paloh Dalam Rangka Mendukung Anies Baswedan untuk Pemilu 2024,https://turnbackhoax.id/2022/07/15/salah-pidato-surya-paloh-dalam-rangka-mendukung-anies-baswedan-untuk-pemilu-2024/,2023-10-13,True
Megawati Resmi Tunjuk Ganjar Pranowo Sebagai Calon Presiden Untuk Pemilu 2024,https://turnbackhoax.id/2022/06/30/salah-megawati-resmi-tunjuk-ganjar-pranowo-sebagai-calon-presiden-untuk-pemilu-2024/,2023-10-13,True
Kutipan Ucapan Stalin tentang Pemilu,https://turnbackhoax.id/2022/06/05/salah-kutipan-ucapan-stalin-tentang-pemilu/,2023-10-13,True
DPW Partai NasDem DIY Buat Baliho Dukung Anies Baswedan untuk Pemilu Presiden 2024,https://turnbackhoax.id/2022/05/30/salah-dpw-partai-nasdem-diy-buat-baliho-dukung-anies-baswedan-untuk-pemilu-presiden-2024/,2023-10-13,True
Partai Islam Belgia Meminta Belgia Mengadopsi Hukum Syariah Jika Menang di Pemilu 2024,https://turnbackhoax.id/2022/04/27/salah-partai-islam-belgia-meminta-belgia-mengadopsi-hukum-syariah-jika-menang-di-pemilu-2024/,2023-10-13,True
Warga Korea Selatan yang Belum Vaksin Tidak Dapat Mengikuti Pemilu,https://turnbackhoax.id/2022/01/24/salah-warga-korea-selatan-yang-belum-vaksin-tidak-dapat-mengikuti-pemilu/,2023-10-13,True
Pesan Obama untuk Pemilu Presiden Kenya 2022,https://turnbackhoax.id/2022/01/15/salah-pesan-obama-untuk-pemilu-presiden-kenya-2022/,2023-10-13,True
Video Kecurangan Penghitungan Suara dalam Pemilu Presiden Amerika Serikat 2020,https://turnbackhoax.id/2020/11/09/salah-video-kecurangan-penghitungan-suara-dalam-pemilu-presiden-amerika-serikat-2020/,2023-10-13,True
"“Gandeng MAFINDO, Bawaslu Bekali Pemuda tentang Pengawasan Pemilu”",https://turnbackhoax.id/2020/08/16/acara-gandeng-mafindo-bawaslu-bekali-pemuda-tentang-pengawasan-pemilu/,2023-10-13,True
“Ketua KPU Imbau Masyarakat Hormati Hasil Pemilu Walau Banyak Kecurangan”,https://turnbackhoax.id/2020/08/15/salah-ketua-kpu-imbau-masyarakat-hormati-hasil-pemilu-walau-banyak-kecurangan-2/,2023-10-13,True
“Proses Pemilu dimasa Corona hanya menguntungkan petahana”,https://turnbackhoax.id/2020/05/12/salah-proses-pemilu-dimasa-corona-hanya-menguntungkan-petahana/,2023-10-13,True
"Pemilu Belum Dilaksanakan, Tapi Sudah Tau Menang",https://turnbackhoax.id/2019/12/03/salah-pemilu-belum-dilaksanakan-tapi-sudah-tau-menang/,2023-10-13,True
“Ketua KPU Imbau Masyarakat Hormati Hasil Pemilu Walau Banyak Kecurangan”,https://turnbackhoax.id/2019/10/09/salah-ketua-kpu-imbau-masyarakat-hormati-hasil-pemilu-walau-banyak-kecurangan/,2023-10-13,True
"“Bukan Satu-satunya Penentu Hasil Pemilu, Ini Sejumlah Kegunaan Situng KPU RI”",https://turnbackhoax.id/2019/05/04/berita-bukan-satu-satunya-penentu-hasil-pemilu-ini-sejumlah-kegunaan-situng-kpu-ri/,2023-10-13,True
"Klarifikasi Putra Aji Adhari, Anak Kelas ll MTS yang “Bobol” Situs KPU Pemilu 2019",https://turnbackhoax.id/2019/05/04/benar-klarifikasi-putra-aji-adhari-anak-kelas-ll-mts-yang-bobol-situs-kpu-pemilu-2019/,2023-10-13,True
“Alasan KPU Pilih Dupleks Bahan Kotak Suara Pemilu 2019”,https://turnbackhoax.id/2019/04/25/berita-alasan-kpu-pilih-dupleks-bahan-kotak-suara-pemilu-2019/,2023-10-13,True
Warga madura potong tangan pelaku kecurangan yang mencoblos 100 surat suara pemilu 2019,https://turnbackhoax.id/2019/04/25/salah-warga-madura-potong-tangan-pelaku-kecurangan-yang-mencoblos-100-surat-suara-pemilu-2019/,2023-10-13,True
"Kertas suara Pemilu dibakar seperti sampah, kecurangan ini mau didiamkan karena dilindungi oleh aparat dan pejabat?",https://turnbackhoax.id/2019/04/24/salah-kertas-suara-pemilu-dibakar-seperti-sampah-kecurangan-ini-mau-didiamkan-karena-dilindungi-oleh-aparat-dan-pejabat/,2023-10-13,True
Ribuan Suara Pemilih Prabowo Hangus Karena Kecurangan Pemilu di Turki,https://turnbackhoax.id/2019/04/17/salah-ribuan-suara-pemilih-prabowo-hangus-karena-kecurangan-pemilu-di-turki/,2023-10-13,True
"Pemilu Di Australia Pendukung 02 Tidak Boleh Masuk, Alasan Waktu Sudah Habis",https://turnbackhoax.id/2019/04/16/salah-pemilu-di-australia-pendukung-02-tidak-boleh-masuk-alasan-waktu-sudah-habis/,2023-10-13,True
Media Sosial dan Aplikasi Pesan Dipantau Dimasa Tenang Pemilu 2019,https://turnbackhoax.id/2019/04/15/salah-media-sosial-dan-aplikasi-pesan-dipantau-dimasa-tenang-pemilu-2019/,2023-10-13,True
Klarifikasi Twitter Tentang Tuduhan Tak Netral di Pemilu 2019,https://turnbackhoax.id/2019/04/04/benar-klarifikasi-twitter-tentang-tuduhan-tak-netral-di-pemilu-2019/,2023-10-13,True
“Dugaan Pelanggaran Pemilu di Acara Singkawang Bersholawat”,https://turnbackhoax.id/2019/04/03/benar-dugaan-pelanggaran-pemilu-di-acara-singkawang-bersholawat/,2023-10-13,True
Rakyat Cina Sudah Mendatangi KPU Surabaya untuk Daftar Sebagai DPT Pemilu,https://turnbackhoax.id/2019/02/23/salah-rakyat-cina-sudah-mendatangi-kpu-surabaya-untuk-daftar-sebagai-dpt-pemilu/,2023-10-13,True
“Simulasi pencoblosan pemilih Gila #pemilu2019”,https://turnbackhoax.id/2018/12/27/salah-simulasi-pencoblosan-pemilih-gila-pemilu2019/,2023-10-13,True
“Simulasi orang Gila di bawa ke TPS saat pemilu nanti”,https://turnbackhoax.id/2018/12/25/salah-simulasi-orang-gila-di-bawa-ke-tps-saat-pemilu-nanti/,2023-10-13,True
Penjelasan Bawaslu dan KPU terkait Kabar Pasien Pengidap Gangguan Jiwa Boleh Nyoblos dalam Pemilu 2019,https://turnbackhoax.id/2018/11/22/benar-penjelasan-bawaslu-dan-kpu-terkait-kabar-pasien-pengidap-gangguan-jiwa-boleh-nyoblos-dalam-pemilu-2019/,2023-10-13,True
: Polsek Kintap Mengamankan Seseorang yang diduga Membagikan Uang dan Sembako Saat Pemilu,https://turnbackhoax.id/2018/06/28/salah-polsek-kintap-mengamankan-seseorang-yang-diduga-membagikan-uang-dan-sembako-saat-pemilu/,2023-10-13,True
"“Tahun Lalu, Media Sosial Digunakan untuk Mempengaruhi Pemilu di Sedikitnya 18 Negara”",https://turnbackhoax.id/2017/11/15/berita-tahun-lalu-media-sosial-digunakan-untuk-mempengaruhi-pemilu-di-sedikitnya-18-negara/,2023-10-13,True
Partai Kebangkitan Nusantara Menyerukan PKI Jaya,https://turnbackhoax.id/2023/10/10/salah-partai-kebangkitan-nusantara-menyerukan-pki-jaya/,2023-10-13,True
"KEPUTUSAN MUTLAK, GANJAR BANTING SETIR PINDAH KE LAIN PARPOL",https://turnbackhoax.id/2023/10/09/salah-keputusan-mutlak-ganjar-banting-setir-pindah-ke-lain-parpol/,2023-10-13,True
"Tiga Partai Bersatu: PAN, Golkar, dan PKS Sepakat Jadikan Anies Baswedan Calon Tunggal",https://turnbackhoax.id/2023/10/05/salah-tiga-partai-bersatu-pan-golkar-dan-pks-sepakat-jadikan-anies-baswedan-calon-tunggal/,2023-10-13,True
Puan-AHY Gantikan Ganjar Pranowo pada Pilpres 2024,https://turnbackhoax.id/2023/09/30/salah-puan-ahy-gantikan-ganjar-pranowo-pada-pilpres-2024/,2023-10-13,True
AIRLANGGA HARTANTO NYATAKAN USUNG GANJAR CAPRES DI DEPAN MEDIA,https://turnbackhoax.id/2023/09/29/salah-airlangga-hartanto-nyatakan-usung-ganjar-capres-di-depan-media/,2023-10-13,True
Prabowo Gagal Nyapres Karena Batasan Usia,https://turnbackhoax.id/2023/09/29/salah-prabowo-gagal-nyapres-karena-batasan-usia/,2023-10-13,True
PKB Pindah Haluan Usung Ganjar Pranowo di 2024,https://turnbackhoax.id/2023/09/29/salah-pkb-pindah-haluan-usung-ganjar-pranowo-di-2024/,2023-10-13,True
“WARGA JAKARTA DEKLARASI ANIES BASWEDAN DAN CAK IMIN HARI INI”,https://turnbackhoax.id/2023/09/28/salah-warga-jakarta-deklarasi-anies-baswedan-dan-cak-imin-hari-ini/,2023-10-13,True
Anies Gagal Menjadi Calon Presiden Gara-Gara Ini,https://turnbackhoax.id/2023/09/27/salah-anies-gagal-menjadi-calon-presiden-gara-gara-ini/,2023-10-13,True
"Atas Perintah Jokowi, Surya Paloh Resmi Tolak Dukungan Kepada Anies Baswedan",https://turnbackhoax.id/2023/09/27/salah-atas-perintah-jokowi-surya-paloh-resmi-tolak-dukungan-kepada-anies-baswedan/,2023-10-13,True
"ATAS PERINTAH JOKOWI, SURYA PALOH NYATAKAN MUNDUR DUKUNG ANIES",https://turnbackhoax.id/2023/09/25/salah-atas-perintah-jokowi-surya-paloh-nyatakan-mundur-dukung-anies/,2023-10-13,True
"Gemparkan 1 Indonesia, Pasangan Ganjar-Mahfud MD Di Tetapkan Di Istana Sore ini",https://turnbackhoax.id/2023/09/25/salah-gemparkan-1-indonesia-pasangan-ganjar-mahfud-md-di-tetapkan-di-istana-sore-ini/,2023-10-13,True
“ULAMA NU SEINDONESIA DOAKAN ANIES BASWEDAN JADI PRESIDEN 2024”,https://turnbackhoax.id/2023/09/22/salah-ulama-nu-seindonesia-doakan-anies-baswedan-jadi-presiden-2024/,2023-10-13,True
Baliho Ganjar Bertuliskan Ganja Untuk Semua,https://turnbackhoax.id/2023/09/22/salah-baliho-ganjar-bertuliskan-ganja-untuk-semua/,2023-10-13,True
Ada Capres Menampar Wakil Menteri,https://turnbackhoax.id/2023/09/20/salah-ada-capres-menampar-wakil-menteri/,2023-10-13,True
MPR dan DPR Resmi Deklarasikan Anies – AHY Gantikan Jokowi,https://turnbackhoax.id/2023/09/15/salah-mpr-dan-dpr-resmi-deklarasikan-anies-ahy-gantikan-jokowi/,2023-10-13,True
“PKS DAN DEMOKRAT TETAP DUKUNG ANIES DI PILPRES 2024”,https://turnbackhoax.id/2023/09/12/salah-pks-dan-demokrat-tetap-dukung-anies-di-pilpres-2024/,2023-10-13,True
"Surya Paloh Resmikan Ganjar Sebagai Capres 2024, Anies Makin Stres",https://turnbackhoax.id/2023/08/30/salah-surya-paloh-resmikan-ganjar-sebagai-capres-2024-anies-makin-stres/,2023-10-13,True
GEGER !! GANJAR DI USIR PAKSA PPP || PERLAWANAN MENGERIKAN PILIH & BERI DUKUNGAN KE ANIES,https://turnbackhoax.id/2023/08/30/salah-geger-ganjar-di-usir-paksa-ppp-perlawanan-mengerikan-pilih-beri-dukungan-ke-anies/,2023-10-13,True
Prabowo Rela Lepas Kewarganegaraannya Demi Selamatkan Diri,https://turnbackhoax.id/2023/08/29/salah-prabowo-rela-lepas-kewarganegaraannya-demi-selamatkan-diri/,2023-10-13,True
"Anies Positif Gagal Nyapres, Demokrat Resmi Hengkang",https://turnbackhoax.id/2023/08/28/salah-anies-positif-gagal-nyapres-demokrat-resmi-hengkang/,2023-10-13,True
Anies Baswedan Setuju Berduet dengan Ganjar pada Pilpres 2024,https://turnbackhoax.id/2023/08/28/salah-anies-baswedan-setuju-berduet-dengan-ganjar-pada-pilpres-2024/,2023-10-13,True
Akun Facebook Komisioner Komisi Independen Pemilihan  Pidie Jaya Masrur Salamuddin,https://turnbackhoax.id/2023/08/27/salah-akun-facebook-komisioner-komisi-independen-pemilihan-kip-pidie-jaya-masrur-salamuddin/,2023-10-13,True
Nasdem Jatim Tolak Dukung Anies dan Terang-Terangan Pilih Ganjar,https://turnbackhoax.id/2023/08/23/salah-nasdem-jatim-tolak-dukung-anies-dan-terang-terangan-pilih-ganjar/,2023-10-13,True
PDIP Usir Sandiaga Uno Karena Ngotot Jadi Wakil Presiden,https://turnbackhoax.id/2023/08/23/salah-pdip-usir-sandiaga-uno-karena-ngotot-jadi-wakil-presiden/,2023-10-13,True
Jokowi Ancam Penjarakan Pejabat Negara Jika Berani Dukung Anies Baswedan,https://turnbackhoax.id/2023/08/23/salah-jokowi-ancam-penjarakan-pejabat-negara-jika-berani-dukung-anies-baswedan/,2023-10-13,True
Video Tim 8 Koalisi Resmi Sepakati Siap Majukan Anies Pilpres 2024,https://turnbackhoax.id/2023/08/23/salah-video-tim-8-koalisi-resmi-sepakati-siap-majukan-anies-pilpres-2024/,2023-10-13,True
Video Jokowi Pimpin Langsung Kampanye Anies 2024,https://turnbackhoax.id/2023/08/22/salah-video-jokowi-pimpin-langsung-kampanye-anies-2024/,2023-10-13,True
Video MEGAWATI PANIK !! 8 PARTAI RESMIKAN MENANGKAN ANIES 2024,https://turnbackhoax.id/2023/08/22/salah-video-megawati-panik-8-partai-resmikan-menangkan-anies-2024/,2023-10-13,True
PPP Putar Haluan Deklarasikan Dukung Anies Baswedan,https://turnbackhoax.id/2023/08/22/salah-ppp-putar-haluan-deklarasikan-dukung-anies-baswedan/,2023-10-13,True
"Ketahuan Ingin Jegal Anies Baswedan, KPU Tolak Pendaftaran Ganjar Pranowo Jadi Capres",https://turnbackhoax.id/2023/08/11/salah-ketahuan-ingin-jegal-anies-baswedan-kpu-tolak-pendaftaran-ganjar-pranowo-jadi-capres/,2023-10-13,True
"Habib Rizieq, SBY, Ulama, dan Umat Deklarasikan Anies – Gatot sebagai Capres Cawapres",https://turnbackhoax.id/2023/08/10/salah-habib-rizieq-sby-ulama-dan-umat-deklarasikan-anies-gatot-sebagai-capres-cawapres/,2023-10-13,True
“RIDWAN KAMIL KERAHKAN SEMUA WARGA JABAR UNTUK MENANGKAN ANIES DI PILPRES 2024”,https://turnbackhoax.id/2023/08/08/salah-ridwan-kamil-kerahkan-semua-warga-jabar-untuk-menangkan-anies-di-pilpres-2024/,2023-10-13,True
"Usai Laga Voli Timnas, Pelatih, Pemain, Hingga Suporter Kibarkan Bendera Anies di Stadion Sentul",https://turnbackhoax.id/2023/07/31/salah-usai-laga-voli-timnas-pelatih-pemain-hingga-suporter-kibarkan-bendera-anies-di-stadion-sentul/,2023-10-13,True
Prabowo Menyerah dari Ganjar dan Mundur dari Pilpres 2024,https://turnbackhoax.id/2023/07/31/salah-prabowo-menyerah-dari-ganjar-dan-mundur-dari-pilpres-2024/,2023-10-13,True
"JOKOWI TERKEJUT! TAK RELA INDONESIA DIPIMPIN PETUGAS PARTAI, TNI COPOT BALIHO GANJAR & DUKUNG ANIES!",https://turnbackhoax.id/2023/07/30/salah-jokowi-terkejut-tak-rela-indonesia-dipimpin-petugas-partai-tni-copot-baliho-ganjar-dukung-anies/,2023-10-13,True
300 Kabupaten serentak dukung Anies,https://turnbackhoax.id/2023/07/28/salah-300-kabupaten-serentak-dukung-anies/,2023-10-13,True
Ahok Si Mental Baja Kembali ke Panggung Politik Jadi Cawapres Ganjar,https://turnbackhoax.id/2023/07/27/salah-ahok-si-mental-baja-kembali-ke-panggung-politik-jadi-cawapres-ganjar/,2023-10-13,True
Yenny Wahid Ajak Seluruh Anak Yatim Pilih Anies Baswedan di Pilpres 2024,https://turnbackhoax.id/2023/07/27/salah-yenny-wahid-ajak-seluruh-anak-yatim-pilih-anies-baswedan-di-pilpres-2024/,2023-10-13,True
Jalanan Lumpuh Total Akibat Relawan Dukung Anies dalam Debat Terbuka,https://turnbackhoax.id/2023/07/26/salah-jalanan-lumpuh-total-akibat-relawan-dukung-anies-dalam-debat-terbuka/,2023-10-13,True
"Jokowi Panik, Cak Imin dan Prabowo Satukan Dukungan untuk Anies Baswedan",https://turnbackhoax.id/2023/07/26/salah-jokowi-panik-cak-imin-dan-prabowo-satukan-dukungan-untuk-anies-baswedan/,2023-10-13,True
NASDEM MUNDUR DUKUNG ANIES,https://turnbackhoax.id/2023/07/26/salah-nasdem-mundur-dukung-anies/,2023-10-13,True
“SURYA PALOH DEKLARASI PASANGAN ANIES – GATOT DI PILPRES 2024”,https://turnbackhoax.id/2023/07/23/salah-surya-paloh-deklarasi-pasangan-anies-gatot-di-pilpres-2024/,2023-10-13,True
"Tak Sanggup Bersaing dengan Anies, Prabowo Mengundurkan Diri dari Pilpres 2024",https://turnbackhoax.id/2023/07/18/salah-tak-sanggup-bersaing-dengan-anies-prabowo-mengundurkan-diri-dari-pilpres-2024/,2023-10-13,True
"PDIP Retak, Megawati Salah Pilih Capres Elit Partai Enggan Dukung Ganjar",https://turnbackhoax.id/2023/07/18/salah-pdip-retak-megawati-salah-pilih-capres-elit-partai-enggan-dukung-ganjar/,2023-10-13,True
Ganjar Disiapkan Sejak 3 Tahun Lalu Bakal Ubah IKN Jadi Pangkalan Militer China,https://turnbackhoax.id/2023/07/13/salah-ganjar-disiapkan-sejak-3-tahun-lalu-bakal-ubah-ikn-jadi-pangkalan-militer-china/,2023-10-13,True
RELAWAN ANIES TERUS BERGERAK DAN KIBARKAN BALIHO RAKSASA MESKI ANIES DI MEKKAH,https://turnbackhoax.id/2023/07/10/salah-relawan-anies-terus-bergerak-dan-kibarkan-baliho-raksasa-meski-anies-di-mekkah/,2023-10-13,True
"IKUTI INSTRUKSI JUSUF HAMKA, SELURUH WARGA TIONGHOA DEKLARASI ANIES BASWEDAN",https://turnbackhoax.id/2023/07/04/salah-ikuti-instruksi-jusuf-hamka-seluruh-warga-tionghoa-deklarasi-anies-baswedan/,2023-10-13,True
TNI DAN POLRI SIAP KERAHKAN PASUKAN TANGKAP SIAPA SAJA YG BERANI JEGAL ANIES JADI CAPRES,https://turnbackhoax.id/2023/06/30/salah-tni-dan-polri-siap-kerahkan-pasukan-tangkap-siapa-saja-yg-berani-jegal-anies-jadi-capres/,2023-10-13,True
“BAWASLU DISKUALIFIKASI GANJAR PRANOWO DARI BURSA CAPRES”,https://turnbackhoax.id/2023/06/27/salah-bawaslu-diskualifikasi-ganjar-pranowo-dari-bursa-capres/,2023-10-13,True
“MAHFUD MD BERHASIL GAGALKAN ANIES BASWEDAN NYAPRES PILPRES 2024”,https://turnbackhoax.id/2023/06/27/salah-mahfud-md-berhasil-gagalkan-anies-baswedan-nyapres-pilpres-2024/,2023-10-13,True
OLIGARKI KEJANG2 !! ISTANA DIAM2 KECOLONGAN || TERNYATA MAHFUD MD DUKUNG ANIES.,https://turnbackhoax.id/2023/06/27/salah-oligarki-kejang2-istana-diam2-kecolongan-ternyata-mahfud-md-dukung-anies/,2023-10-13,True
TNI DAN POLRI RAPATKAN BARISAN DUKUNG GANJAR MAJU 2024,https://turnbackhoax.id/2023/06/27/salah-tni-dan-polri-rapatkan-barisan-dukung-ganjar-maju-2024/,2023-10-13,True
Jokowi dan Megawati Akan Dipenjara Akibat Ketahuan Atur KPK dan KPU untuk Jegal Anies Baswedan,https://turnbackhoax.id/2023/06/22/salah-jokowi-dan-megawati-akan-dipenjara-akibat-ketahuan-atur-kpk-dan-kpu-untuk-jegal-anies-baswedan/,2023-10-13,True
Anies Baswedan Resmi Deklarasikan AHY sebagai Cawapres,https://turnbackhoax.id/2023/06/22/salah-anies-baswedan-resmi-deklarasikan-ahy-sebagai-cawapres/,2023-10-13,True
"“DEMOKRAT KELUAR DARI KOALISI, ANIES DIPASTIKAN GAGAL NYAPRES DI 2024”",https://turnbackhoax.id/2023/06/19/salah-demokrat-keluar-dari-koalisi-anies-dipastikan-gagal-nyapres-di-2024/,2023-10-13,True
"ANIES POSITIF GAGAL NYAPRES, 120.000 KADER NASDEM INDRAMAYU, RAMAI-RAMAI TUNTUT INI",https://turnbackhoax.id/2023/06/19/salah-anies-positif-gagal-nyapres-120-000-kader-nasdem-indramayu-ramai-ramai-tuntut-ini/,2023-10-13,True
Tangkapan Layar Artikel “Anies Baswedan Tegaskan Tak Akan Lanjutkan Semua Program Jokowi Jika Jadi Presiden”,https://turnbackhoax.id/2023/06/19/salah-tangkapan-layar-artikel-anies-baswedan-tegaskan-tak-akan-lanjutkan-semua-program-jokowi-jika-jadi-presiden/,2023-10-13,True
KPU NYATAKAN GANJAR TIDAK LOLOS PENDAFTARAN PILPRES,https://turnbackhoax.id/2023/06/14/salah-kpu-nyatakan-ganjar-tidak-lolos-pendaftaran-pilpres/,2023-10-13,True
BAWASLU CIDUK GANJAR BAGI-BAGI SEMBAKO DI SAAT KUNJUNGAN KERJA,https://turnbackhoax.id/2023/06/13/salah-bawaslu-ciduk-ganjar-bagi-bagi-sembako-di-saat-kunjungan-kerja/,2023-10-13,True
Jusuf Kalla Dihadapkan ke Jokowi,https://turnbackhoax.id/2023/06/09/salah-jusuf-kalla-dihadapkan-ke-jokowi/,2023-10-13,True
Sandiaga Uno Bongkar Aib Anies Baswedan di Masa Lalu,https://turnbackhoax.id/2023/06/08/salah-sandiaga-uno-bongkar-aib-anies-baswedan-di-masa-lalu/,2023-10-13,True
Gerindra Gelar Kampanye Akbar Pengusungan Anies Baswedan,https://turnbackhoax.id/2023/06/08/salah-gerindra-gelar-kampanye-akbar-pengusungan-anies-baswedan/,2023-10-13,True
"Video “SELALU TEBAR FITNAH, JOKOWI HAJAR ANIES DAN SBY DENGAN CARA INI”",https://turnbackhoax.id/2023/06/02/salah-video-selalu-tebar-fitnah-jokowi-hajar-anies-dan-sby-dengan-cara-ini/,2023-10-13,True
PKS dan Demokrat Murka Anies Pilih Pasangan Cawapres Dari Luar Koalisi,https://turnbackhoax.id/2023/05/30/salah-pks-dan-demokrat-murka-anies-pilih-pasangan-cawapres-dari-luar-koalisi/,2023-10-13,True
